"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significant","direction"
"GRHL2",1.6692605879517e-38,55.8006335286572,0.934,0.407,5.5983661598724e-34,TRUE,"Up in HER2hi"
"ERBB2",9.44272369041728e-34,45.922787594367,0.841,0.264,3.16690067129215e-29,TRUE,"Up in HER2hi"
"SNX31",1.19562445477502e-32,20.6506812595902,0.863,0.324,4.00988529642447e-28,TRUE,"Up in HER2hi"
"UTY",4.63848086561272e-31,4.36581825594851,0.742,0.181,1.55565371270919e-26,TRUE,"Up in HER2hi"
"SCHLAP1",4.78210824952941e-31,126.957163598212,0.901,0.363,1.60382346472717e-26,TRUE,"Up in HER2hi"
"ELF3",1.10221176746385e-27,89.3385889857825,0.879,0.489,3.69659782572027e-23,TRUE,"Up in HER2hi"
"NEAT1",1.94992632505232e-27,637.671208064688,0.995,0.835,6.53966290896047e-23,TRUE,"Up in HER2hi"
"LINC00278",2.25899242249043e-27,-21.6404251387236,0.725,0.198,7.57620878654839e-23,TRUE,"Up in HER2lo"
"VEGFA",1.45174098020882e-26,66.3624758828607,0.835,0.456,4.86884889942432e-22,TRUE,"Up in HER2hi"
"NLGN4Y",1.82755340451343e-26,4.52557790931505,0.648,0.11,6.12924860805714e-22,TRUE,"Up in HER2hi"
"PPARG",7.86410383365701e-26,181.779575152009,0.912,0.467,2.63746314373189e-21,TRUE,"Up in HER2hi"
"SEMA3C",9.46040595767732e-26,-19.399798911468,0.857,0.423,3.17283095008582e-21,TRUE,"Up in HER2lo"
"THRB",6.66813212897075e-25,50.4681240833703,0.885,0.39,2.23635815341421e-20,TRUE,"Up in HER2hi"
"LYPD6B",9.03879712052036e-25,14.2190580903563,0.786,0.253,3.03143177828012e-20,TRUE,"Up in HER2hi"
"AHR",1.72951635794482e-24,-28.5058437906049,0.802,0.302,5.80045196127533e-20,TRUE,"Up in HER2lo"
"FOSB",1.82119645257173e-24,24.6323418600743,0.615,0.115,6.10792866263507e-20,TRUE,"Up in HER2hi"
"SEMA4B",2.12607284096935e-24,28.6910057630861,0.786,0.33,7.13042309404301e-20,TRUE,"Up in HER2hi"
"KRT7",3.35461412505775e-24,-35.6125932442316,0.896,0.467,1.12507048526187e-19,TRUE,"Up in HER2lo"
"CD96",3.41896976483565e-24,15.8696454497214,0.918,0.505,1.14665407973058e-19,TRUE,"Up in HER2hi"
"ID1",6.81225149401332e-24,15.9215906781317,0.764,0.28,2.28469290606219e-19,TRUE,"Up in HER2hi"
"GRB7",9.63912964329245e-24,53.1948206829317,0.709,0.258,3.23277129976742e-19,TRUE,"Up in HER2hi"
