"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048675","axon extension","18/620","89/18842",0.202247191011236,6.14635737586082,8.97654818165392,5.50268134493299e-10,3.2355766308206e-06,3.2355766308206e-06,"CDH1/SMURF1/GOLGA4/SEMA3F/VEGFA/SEMA6D/SLIT2/CTTN/DNM2/USP9X/NRCAM/CYFIP1/MAP2/CLASP2/JUP/SEMA7A/DIP2B/SHTN1",18
"GO:0061564","axon development","39/620","414/18842",0.0942028985507246,2.86285647498831,7.06952545930362,4.00802955564029e-09,1.06162661497397e-05,1.06162661497397e-05,"PLXNB1/CDH1/FGF13/TENM3/SMURF1/TENM2/SEMA4B/GOLGA4/SEMA3F/PTPRM/VEGFA/WNT7B/RAB10/EFNA1/MAPK8IP3/SEMA6D/SLIT2/CTTN/DNM2/USP9X/KREMEN1/RPS6KA5/NRCAM/CYFIP1/RELN/NECTIN1/PLXNB2/MAP2/MYCBP2/CLASP2/JUP/EPHB6/SEMA7A/TNFRSF21/DIP2B/STK24/GRM7/SHTN1/CTNNA1",39
"GO:0034329","cell junction assembly","43/620","490/18842",0.0877551020408163,2.66690585911784,6.8963169196331,5.41646232129578e-09,1.06162661497397e-05,1.06162661497397e-05,"PATJ/PLXNB1/CDH1/FGF13/SDC4/PLEC/ITGA6/PTPN13/SETD5/GRHL2/ADGRL3/VEGFA/DOCK10/CD9/SLC9A1/ARHGAP6/OGT/CTTN/ITGB4/NLGN4Y/NRCAM/ELMO1/OCLN/SLK/RELN/NECTIN1/RAB40C/PLXNB2/MYCBP2/CLASP2/ADGRF1/JUP/ADD2/VMP1/PTPRA/GJB6/SMAD3/ARHGAP32/PTPRD/PHLDB2/CTNNA1/CDH26/TJP1",43
"GO:0061572","actin filament bundle organization","22/620","163/18842",0.134969325153374,4.10176132990303,7.33626764028785,2.02558837708408e-08,2.89727539634446e-05,2.89727539634446e-05,"ADD1/SDC4/LUZP1/EPS8/SLC9A1/ARHGAP6/PXN/ARHGEF10L/WASF2/DNM2/SPIRE2/TACSTD2/PPM1E/TNFAIP1/CLASP2/ADD2/SMAD3/PHLDB2/SHTN1/EZR/PDLIM1/TJP1",22
"GO:0030516","regulation of axon extension","14/620","67/18842",0.208955223880597,6.35021665864227,8.09223704749276,2.95095219367365e-08,2.89727539634446e-05,2.89727539634446e-05,"CDH1/SMURF1/GOLGA4/VEGFA/SEMA6D/CTTN/DNM2/NRCAM/MAP2/CLASP2/JUP/SEMA7A/DIP2B/SHTN1",14
"GO:0061387","regulation of extent of cell growth","15/620","78/18842",0.192307692307692,5.84429280397022,7.9079656273993,3.10977349069179e-08,2.89727539634446e-05,2.89727539634446e-05,"CDH1/FGF13/SMURF1/GOLGA4/VEGFA/SEMA6D/CTTN/DNM2/NRCAM/MAP2/CLASP2/JUP/SEMA7A/DIP2B/SHTN1",15
"GO:0007015","actin filament organization","39/620","448/18842",0.0870535714285714,2.64558611751152,6.50236477445683,3.51954652174513e-08,2.89727539634446e-05,2.89727539634446e-05,"CAPZB/MYO5B/ADD1/SDC4/PLEC/ARHGAP12/LUZP1/EPS8/SLC9A1/HIP1R/ARHGAP6/PXN/SLIT2/CTTN/ARHGEF10L/WASF2/DNM2/ELMO1/CYFIP1/SPIRE2/ARFGEF1/TACSTD2/TPM4/GIPC1/PPM1E/TNFAIP1/CLASP2/SSH2/ADD2/INF2/SMAD3/PHLDB2/NCKAP1/SHTN1/EZR/ARPC2/PDLIM1/WASHC1/TJP1",39
"GO:0060560","developmental growth involved in morphogenesis","22/620","169/18842",0.130177514792899,3.95613666730292,7.12050196225227,3.94187128754348e-08,2.89727539634446e-05,2.89727539634446e-05,"CDH1/FGF13/SMURF1/GOLGA4/SEMA3F/VEGFA/WNT7B/SEMA6D/SLIT2/CTTN/DNM2/USP9X/NRCAM/CYFIP1/MAP2/RARG/CLASP2/JUP/SEMA7A/DIP2B/SLC23A2/SHTN1",22
"GO:0032535","regulation of cellular component size","30/620","297/18842",0.101010101010101,3.06972955360052,6.6317509030138,5.48843163057684e-08,3.58577533197687e-05,3.58577533197687e-05,"OXSR1/CDH1/FGF13/CAPZB/SMURF1/ADD1/GOLGA4/EPS8/VEGFA/WNT7B/SEMA6D/HIP1R/SLIT2/CTTN/VAV3/DNM2/NRCAM/CYFIP1/ARFGEF1/MAP2/RARG/CLASP2/JUP/SSH2/ADD2/SEMA7A/DIP2B/NCKAP1/SHTN1/EZR",30
"GO:0051017","actin filament bundle assembly","21/620","159/18842",0.132075471698113,4.01381618989653,7.03950003090514,6.21875547709047e-08,3.6566282205292e-05,3.6566282205292e-05,"ADD1/SDC4/LUZP1/EPS8/SLC9A1/ARHGAP6/PXN/ARHGEF10L/WASF2/DNM2/SPIRE2/TACSTD2/PPM1E/TNFAIP1/CLASP2/ADD2/SMAD3/PHLDB2/EZR/PDLIM1/TJP1",21
