"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","26/314","215/18842",0.12093023255814,7.2565842097467,12.011233083832,2.77745577143246e-15,1.63314399360229e-11,1.63314399360229e-11,"FAU/RPL37/RPLP1/RPL36/RPLP2/UBA52/RPS20/RPS27A/RPS23/RPL15/RPL27A/RPS14/RPS18/RPS2/RPS15/RPL7A/RPS27/RPL30/RPL14/PABPC1/RPL7/RPL35A/RPS12/RPS25/RPL11/RPL29",26
"GO:1901740","negative regulation of myoblast fusion","14/314","47/18842",0.297872340425532,17.8742377015856,15.0783720236616,1.98853818528227e-14,4.65218014206533e-11,4.65218014206533e-11,"RPL37/RPLP1/RPL36/RPLP2/UBA52/RPL15/RPL27A/RPL7A/RPL30/RPL14/RPL7/RPL35A/RPL11/RPL29",14
"GO:1901739","regulation of myoblast fusion","15/314","58/18842",0.258620689655172,15.5188886448496,14.4163679782359,2.37356129697211e-14,4.65218014206533e-11,4.65218014206533e-11,"RPL37/RPLP1/RPL36/RPLP2/UBA52/RPL15/RPL27A/PLEKHO1/RPL7A/RPL30/RPL14/RPL7/RPL35A/RPL11/RPL29",15
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion","14/314","49/18842",0.285714285714286,17.1446769790719,14.730987841346,3.81433432466788e-14,5.60707145726179e-11,5.60707145726179e-11,"RPL37/RPLP1/RPL36/RPLP2/UBA52/RPL15/RPL27A/RPL7A/RPL30/RPL14/RPL7/RPL35A/RPL11/RPL29",14
"GO:0060142","regulation of syncytium formation by plasma membrane fusion","15/314","65/18842",0.230769230769231,13.8476237138658,13.5073113700467,1.48954085463808e-13,1.75170004505438e-10,1.75170004505438e-10,"RPL37/RPLP1/RPL36/RPLP2/UBA52/RPL15/RPL27A/PLEKHO1/RPL7A/RPL30/RPL14/RPL7/RPL35A/RPL11/RPL29",15
"GO:0007520","myoblast fusion","15/314","78/18842",0.192307692307692,11.5396864282215,12.1426871880027,2.58189022448126e-12,2.53025241999163e-09,2.53025241999163e-09,"RPL37/RPLP1/RPL36/RPLP2/UBA52/RPL15/RPL27A/PLEKHO1/RPL7A/RPL30/RPL14/RPL7/RPL35A/RPL11/RPL29",15
"GO:0006936","muscle contraction","29/314","375/18842",0.0773333333333333,4.64049256900212,9.27000857697199,7.08955366634365e-12,5.95522507972867e-09,5.95522507972867e-09,"KCNB2/FLNA/RPL37/RPLP1/SCN3A/RPL36/RPLP2/UBA52/CALD1/ACTA2/ANK2/DOCK4/RPL15/RPL27A/PDE4B/NPNT/RPL7A/RPL30/RPL14/CTNNA3/CHGA/RPL7/RPL35A/PRKG1/PDE4D/ASPH/RPL11/KCNMA1/RPL29",29
"GO:0000768","syncytium formation by plasma membrane fusion","15/314","88/18842",0.170454545454545,10.2283584250145,11.295913602776,1.6145760585129e-11,1.18671340300698e-08,1.18671340300698e-08,"RPL37/RPLP1/RPL36/RPLP2/UBA52/RPL15/RPL27A/PLEKHO1/RPL7A/RPL30/RPL14/RPL7/RPL35A/RPL11/RPL29",15
"GO:0140253","cell-cell fusion","15/314","89/18842",0.168539325842697,10.1134330494525,11.2187420306015,1.91297109131192e-11,1.24980777965712e-08,1.24980777965712e-08,"RPL37/RPLP1/RPL36/RPLP2/UBA52/RPL15/RPL27A/PLEKHO1/RPL7A/RPL30/RPL14/RPL7/RPL35A/RPL11/RPL29",15
"GO:0006949","syncytium formation","15/314","90/18842",0.166666666666667,10.0010615711253,11.142784151553,2.26142079161897e-11,1.32971542547195e-08,1.32971542547195e-08,"RPL37/RPLP1/RPL36/RPLP2/UBA52/RPL15/RPL27A/PLEKHO1/RPL7A/RPL30/RPL14/RPL7/RPL35A/RPL11/RPL29",15
